,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,
36,0,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5,0
37,1,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,5,1
38,0,5,0,9,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0
39,0,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3,0
40,0,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0
41,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4,0
42,0,5,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5,0
43,1,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1,1
44,0,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3,0
45,0,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1,0
46,0,5,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3,0
47,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0
48,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,4,0
49,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,4,0
50,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1,0
51,0,5,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1,0
52,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0
53,1,5,3,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,1
54,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5,1
55,0,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3,0
56,0,2,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1,0
57,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1,0
58,0,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1,0
59,0,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,5,4,0
60,0,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,0
61,0,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3,0
62,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0
63,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0
64,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0
65,0,2,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,0,1,0
66,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0
67,0,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1,0
68,0,5,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1,0
69,0,5,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5,0
70,0,2,0,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0
71,0,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0
72,0,2,0,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0
73,0,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4,0
74,0,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1,0
75,0,2,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0
76,0,5,2,8,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0,0
77,0,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4,0
78,1,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5,1
79,0,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1,0
80,0,5,2,4,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,3,3,1,0
81,1,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,1,1
82,0,2,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5,0
83,0,5,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,3,1,0
84,0,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1,0
85,0,5,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,3,1,0
86,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0
87,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0
88,0,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1,0
89,0,4,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5,0
90,0,5,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5,0
91,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1,0
92,0,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1,0
93,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0
94,0,5,2,4,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1,0
95,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0
96,0,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1,0
97,0,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0
98,0,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0
99,0,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1,0
100,0,5,0,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1,0
101,0,0,2,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0
102,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1,0
103,0,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4,0
104,0,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0
105,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3,0
106,0,5,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1,0
107,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3,0
108,0,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0
109,0,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3,0
110,0,5,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1,0
111,0,4,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5,0
112,0,5,0,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0,0
113,0,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3,0
114,1,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5,1
115,0,5,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1,0
116,0,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,5,5,0
117,0,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1,0
118,0,5,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0,0
119,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5,0
120,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1,1
121,0,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0
122,1,2,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1,1
123,0,2,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1,0
124,0,5,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0
125,0,5,2,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,3,1,0
126,0,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1,0
127,0,2,0,3,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1,0
128,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0
129,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3,0
130,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0
131,0,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3,0
132,0,2,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0,0
133,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3,0
134,0,2,2,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0
135,1,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5,1
136,0,2,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0
137,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0
138,1,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1,1
139,0,0,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1,0
140,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4,0
141,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0
142,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,0
143,0,2,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4,0
144,0,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1,0
145,0,5,0,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1,0
146,0,2,0,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,0,1,0
147,0,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0
148,0,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1,0
149,0,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0
150,0,5,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0
151,0,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1,0
152,0,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0
153,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5,0
154,0,5,2,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0,0
155,0,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1,0
156,0,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1,0
157,0,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1,0
158,0,0,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3,0
159,0,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1,0
160,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3,0
161,0,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0
162,0,5,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5,0
163,0,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1,0
164,0,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1,0
165,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4,0
166,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0
167,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3,0
168,0,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1,0
169,0,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1,0
170,0,5,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5,0
171,0,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1,0
172,0,5,0,9,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0,0
173,0,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0
174,0,2,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1,0
175,0,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3,0
176,0,0,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3,0
177,0,0,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0
178,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0
179,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0
180,1,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5,1
181,0,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5,0
182,0,2,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5,0
183,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0
184,0,2,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4,0
185,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1,1
186,0,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0
187,0,2,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5,0
188,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0
189,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4,0
190,0,5,0,8,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,3,1,0
191,0,5,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0
192,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3,0
193,0,2,2,9,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0
194,0,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0
195,0,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5,0
196,0,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0
197,0,5,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0
198,0,5,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3,0
199,0,2,2,8,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0,0
200,0,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0
201,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0
202,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1,0
203,0,5,0,8,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1,0
204,0,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4,0
205,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,1
206,0,0,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1,0
207,0,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3,0
208,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1,0
209,0,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1,0
210,0,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0
211,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3,0
212,0,5,0,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0,0
213,0,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5,0
214,0,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1,0
215,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3,0
216,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1,0
217,0,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1,0
218,0,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0
219,0,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5,0
220,0,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3,0
221,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1,1
222,0,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1,0
223,0,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0
224,0,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0
225,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0
226,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0
227,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0
228,1,5,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5,1
229,0,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1,0
230,0,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,5,5,0
231,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5,1
232,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4,0
233,0,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5,0
234,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1,0
235,0,5,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0
236,0,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0
237,0,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0
238,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,1,0
239,0,2,3,9,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4,0
240,0,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4,0
241,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0
242,0,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0
243,1,5,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,5,1
244,0,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0,0
245,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0
246,0,5,2,8,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0,0
247,0,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3,0
248,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4,0
249,0,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1,0
250,0,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1,0
251,1,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,3,1,1
252,0,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,4,5,0
253,0,0,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3,0
254,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0
255,0,0,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0
256,0,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,0
257,0,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3,0
258,0,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1,0
259,0,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0
260,0,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1,0
261,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1,1
262,0,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1,0
263,0,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3,0
264,0,2,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0,0
265,0,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5,0
266,0,2,2,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1,0
267,0,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0
268,0,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3,0
269,1,2,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,5,1
270,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3,0
271,1,2,2,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,4,5,1
272,0,5,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1,0
273,0,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0
